corpus_id,score,decile,date,source,article,is-thematically-relevant,has-event,has-named-location,has-space-type,event-mentioned,location-mentioned,space-mentioned,notes
197953,0.618986726,10,1842-01-29,star,"address to her Majesty. After a few words from Mr. M'atin, of Belper the meeting broke up.  HOLMFIRTH.—PROGRESS OF CHARITIES.—According to arrangements previously made, Mr. Campbell attended at the Rose and Crown Inn, Holmfirth, on Thursday, the 29th inst., to defend his pamphlet entitled “an examination on the Corn and Provision Laws,” against the assertions of Mr. G. Tinkery who thus said that the work was false. Soon after eight o'clock, the hour appointed, the room was crowded to excess, and such was the anxiety to hear the discussion, that hundreds had to go away unable to gain admittance. Mr. Tinkery failing to attend, Mr. Campbell delivered for about an hour on the Corn Laws, after which Mr. James-Beardsell, of Holm, addressed the meeting in favour of repeal; the chairman (Mr. Cunningham), and the meeting gave him the greatest fair play. Mr. Campbell replied to the satisfaction of the meeting after a vote of thanks to the chairman and lecturer; the meeting broke up. Mr. Campbell addressed the Charitists of Holmfirth, in their room, on Friday night, on the principles of the Charter; he handled the subject in an excellent manner; at the conclusion of his lecture, the following resolution was passed unanimously:—“That the National Charter Association, located in Holmfirth, repose the utmost confidence in the Executive for their unwavering, consistent, and patriotic efforts in the cause of universal liberty, since that body has been, elected to their present honorable and responsible office, and are resolved to use every effort in our power to support them for the future."" A vote of thanks being given to the chairman and lecturer, the meeting broke up. Eight new members joined the association.  HYDE.—There will be a delegate",TRUE,TRUE,TRUE,TRUE,meeting,"Rose and Crown Inn, Holmfirth",pub/inn,
73955,0.654118955,10,1842-12-10,star,"toast. He enquired who were the people? Many of the aristocracy toasted the people—the middle classes did the same, and also the working classes, and in too many instances each considered themselves to be the whole people. He considered the people not to be any one of these classes singly, but the whole family of the nation. It was a mistake to suppose that the working classes alone had rights to obtain. If they imagined so they were greatly mistaken. The Crown had lost all power and was a mere empty show; there was no longer a particle of monarchical power in the state. The middle classes imagined they were possessed of political power; but they did not possess a particle. They could certainly go to the poll and vote for a representative, but the wealth and influence of the aristocracy was such that it always secured them a working majority in the House of Commons, so that eventually the whole power in the country was rested in the hands of the aristocracy. The middle classes were as directly interested in obtaining the whole Six Points as themselves, and it ought to be their business to secure the co-operation of every honest-hearted man of that class. If they who had stepped forward to aid in the good work, only faithfully and fearlessly perform their duty, the work would progress more speedily than it had done. Dr. Black then in a philosophical manner dwelt on the causes which had produced disunion amongst the Chartist party, and the necessity of cultivating a good understanding with each other, to promote the success of those principles for which they were all striving. He then alluded to the Birmingham Conference as a means of producing this desirable result, and concluded amid much applause.",TRUE,FALSE,FALSE,FALSE,,,,
568997,0.65246129,10,1851-06-21,star,"Now, we ask, is not this a gross and flagrant conspiracy against Labour, on the part of these masters? A conspiracy far more dangerous to society, and far more deadly in its consequences, than any conspiracy of workmen against masters can ever be ! Property and life are hedged round—and properly so— with every imaginable security; and the slightest violation of the law is followed by sure and severe punishment. The masters have besides this, in all cases, their capital and an overstocked labour market to fall back upon, in the case of a dispute with their workmen. At the worst it can only be an inconvenience to them, and the loss of profits which they would otherwise have made. Very different it is with the working men hunted and proscribed as these Silk Dressers are. The conspiracy against them touches their very means of existence, and is calculated to drive them either into the workhouse or the gaol. Charity or crime are the sole resources which such an infamous and disgraceful prosecution leaves them. Yet for this deadly and vindictive conspiracy the law has no penalties. The masterclass may brand men with a mark which leaves them no alternative, save starvation or disgrace, with impunity, while for the labour-class, the assertion even of their admitted and acknowledged rights in an open, moderate, and studiously-pacific spirit, is beset by such legal traps, pitfalls, and snares, as to give revengeful and malicious employers the power of instituting prosecutions, meant only to harass and to impoverish those opposed to them!",TRUE,FALSE,FALSE,FALSE,,,,
405093,0.62154156,10,1850-10-05,star,"before, has a greater chance of securing a just and amicable settlement of the difference. In the second place, it brings to bear upon the minds of employers a powerful public opinion, which has a marked and wholesome influence upon their conduct; and in the third, instead of having to deal with their own ""hands,"" or the workmen of their own town, whom they may intimidate, cajole, set by the ears, or overreach, they have to negotiate with men accustomed to such matters, and possessed of the knowledge, experience, tact, and independence which naturally grow out of such position.  The past career of the Association has fully borne out the expectations of its promoters, as to the effecacy of this mode of action. During the five years that it has been in existence, it has won by mediation alone, a series of victories for the trades connected with it, unparalleled in the history of any other industrial union. Large reductions, and inconvenient and irritating alterations, have been prevented; wages have been raised, and disputes amicably settled in hundreds of cases, and in almost every branch of industry, at a cost of money—outlay far less than has often been fruitlessly thrown away upon a single month's strike of one trade.  When strikes and turn-outs have been absolutely necessary they have been conducted with order and discipline, under the best legal advice, and with every advantage that could be derived from a thorough knowledge of the industrial condition of the country at large. Whenever the law has been perverted or stretched by ignorant or partial magistrates, the Association has stepped in to fight the oppressor with its own weapons, and to throw, for the first time, the shield of the law between the struggling workman, and those who have hitherto made it but ""the instrument of some new ty",TRUE,FALSE,FALSE,FALSE,,,,
666473,0.664503217,10,1841-01-16,star,"The rich being predisposed to believe the poor ignorant and corrupt, and having good reason to believe it, as they have always striven to make or to keep them so, and not without general effect, it follows, as a natural consequence, that they should be ready to impute all manner of evil to them. The Chartist out-breaks, which a Machiavelian Government cunningly excited by exasperating the long-suffering people beyond the powers of endurance—those vengeful outrages were greedily exaggerated and joyfully repeated, as confirmations of the ill designs which the working classes were charged with entertaining. ""See,"" says Lord John, in one House, ""these fellows want to burn and plunder all before them."" ""I never,"" says the Duke, in the other—""I never saw nor heard such horrors as those perpetrated in Birmingham."" Now before we concur in these strong stigmas of the hunting Duke and the shooting Lord, let us recollect that Government had refused to redress the grievances which it had caused—had insulted the petitioners, and imprisoned their friends—had sent police to maltreat the people when peaceably met; and, while taking excellent care of the Royal horses, which have little else to do but eat their corn, had refused to feed, clothe, house, or educate the poor; nay, more, were preventing themselves from doing it. Let us take all these things into our calm consideration, and we must didly avow that it is unfair to blame the common people for acts which, as the Government forced them on, it ought to bear the blame, and to be punished for them.",TRUE,FALSE,FALSE,FALSE,,,,
84956,0.781766415,10,1848-04-01,star,"On Monday, April 10th, a Monster Petition for the enfranchisement of labour, by the enactment of the People's Charter, will be presented to the House of Commons; this petition, it is contemplated, will receive five millions of signatures and be conveyed to the house, supported by a procession of 500,000 persons. Let, then, the traders of London do their duty on this occasion, and swell the train of Labour's sons, headed by their officers, with the banners and signatures of each trade. Let them prove, by their intelligence, that they are worthy of liberty—by their order, that they are deserving of it—and by their firmness that they are determined to obtain it. Let 'Peace, Law, and Order' be the motto—'Onward and we Conquer' be the motto—bearing in mind, that, for a nation to be free, it is sufficient that she wills it. Your own interests—your children's benefit—and the nation's weal demands this small sacrifice at your hands. In the meantime, sign, sign, sign.  'England expects that every man will do his duty.' The time and place of meeting will be given in the Star, and unnecessary expense need not be incurred by those trades who have no banners.  (Signed on behalf of the Trades' Demonstration Committee.)  Thomas Hawson, President. W. H. Nicholson, Secretary.  12, Curtain-road, Shoreditch.",TRUE,TRUE,TRUE,TRUE,presenting of People's Charter petition,House of Commons,House of Commons/parliamentary space,
508231,0.619309723,10,1849-05-26,star,"What has become of our great regenerator, PEEP? Where are his healing measures? Tell me not that he is out of office, that he is powerless. Were he an honest man, and a statesman worthy of the name, he would never rest until he had forced upon Parliament the adoption of measures calculated to put an end to the horrors above detailed.  But suffering is not confined to the people of Ireland. On Tuesday evening last, Mr. SLANEY brought, or, rather, attempted to bring, under the notice of the House of Commons the condition of the working classes of this Island, in support of a motion for ""the appointment of a Standing Committee or unpaid Commission, to consider and report, from time to time, on practical measures (unconnected with political changes) likely to improve the condition of the working classes, to encourage their industry, and increase their contentment."" The motion was moderate enough in all conscience. But then ""he wished to show the House that whilst the rich and middle classes of this country had been going on improving, the condition of the humblest and most numerous orders of the population had undergone no corresponding amelioration."" Mr. SLANEY was proceeding to develop the facts on which he founded his motion—facts illustrative of the miserable condition of large masses of the industrious classes— when he was suddenly interrupted by ""an Honourable Member,"" who moved that the House be counted. The counting took place, and of six hundred and fifty-six members it was found that only thirty-four were present. The House was thereupon adjourned till Thursday.",FALSE,FALSE,FALSE,FALSE,,,,
269295,0.637448788,10,1845-12-27,star,"Mr. Bairstow, on presenting himself to move the second resolution was loudly cheered. He said, the present is an evenful crisis, to be made valuable or disastrous, according to the use we make of those events which faction has created—(cheers)—the factions are like figures in a panorama or a dissolving view. (Cheers.) Russell finds that he cannot get all to agree with him in his free trade views because he won't go the whole hog, and so he cannot form an administration, and dissolves in the view. (Laughter.) Sir Robert Peel will have to throw the Duke over the left before he can form a cabinet, as he won't bulge, so we must have another dissolution. We, the people, it appears, arcat length to constitute the panorama, so we ought to feel as if we were responsible, even for their blunders, and try to prepare ourselves manfully for that responsibility, and press onward to action. (Cheers.) However they may all conclude for a repeal of the Corn Laws, they are all from enemies to the predomining classes, because they are deprived of the franchise, and with them poverty is the curse of the world, and property is the God of their adoration. (Cheers.) So we must maintain a movement distinct and separate, which will put down their unjust god and place our just God, equable distribution, upon its throne. (Loud cheers.) Labour must depend solely upon itself and, therefore, to the labourers alone he looked to make the struggle effective, and it was, therefore, he cordially moved the resolution. (Loud cheers.)",TRUE,FALSE,FALSE,FALSE,,,,
771787,0.675278544,10,1843-09-02,star,"Lecture.—Mr. George Julian Harney lectured here on Friday evening, 25th inst., on “The state of the country, the necessity of a change, and the necessity of a thorough organisation of the people to effect that change.” After a few introductory remarks, he entered into the financial distress of the Government, and showed in a very humorous and instructive manner what both Whigs and Tories had done to bring the country to its present state. He also dwelt on the advantages which every day was becoming more apparent from the Pro-Tory Policy adopted by the Chartists at the last general election; particularly as it had given us but one faction to contend with. Mr. Harney then went on to show the workings of the New Tariff and Corn Bill, exhibiting to view the ruinous effects it had produced, both on the agriculturalist and mechanic. He also entered at great length into the necessity of a thorough National Organisation of the people, in order to enable them to effect the changes which were required for the people’s benefit, and concluded a lecture of three hours and a half duration, amidst the hearty plaudits of the meeting. The chairman John Macren intimated that as a new enrolment of the members of the Association had been commenced, it was requested they would come forward on Tuesday evenings and take out cards; and concluded by calling upon all who valued the future prosperity of themselves and fellow men to come forward and join the Association, so that as soon as the National Organisation was agreed upon they would have nothing to do than to join under it boldly at once. A vote of thanks was then given to Mr. Harney and the Chairman.",TRUE,TRUE,FALSE,FALSE,lecture,,,
297003,0.625390768,10,1838-10-16,star,"""The Great Northern Liar."" REVERSE.  ""The Leeds Mercury, on the Besom of Destruction.""  There was a large flag from Sourhowram bearing the Inscription,  ""Rise Brims from your Slumber, Be United and Free; The Cause of our Distress It's for Want of Liberty.""  ALMONDBURY. Band and Banner; the Banner bearing the following Inscription.  ""Universal Suffrage, Vote by Ballot, Annual Parliaments, No Property Qualification, and Payment of Members.""  ""We will never rest until we obtain them !""  REVERSE.  ""He that oppresseth the poor, reproacheth l Maker.""  ""Remember, Heaven has an avenging rod; To smite the poor is treason against God.""  CHICKENLEY. A Green Flag. INSCRIPTION, ""Chickenley Radical Association.""  REVERSE, ""Universal Suffrage, and the Ballot.""  EARLSHEATON, A Green Silk Flag.  DEVICE, ""Justice and Unity, and Cap of Liberty.""  INSCRIPTIONS,  ""Labour shall be represented; who would be free, knock off your Chains.""  ""United we stand; Divided, we Fall.""  White Flag, green edges,  INSCRIPTION, ""Labour, the source of all Wealth.""  DEWSbury DISTRICT. Large Green Merino Flag.  Emblematical - ""Justice, with the People's Charter in her hand.""",TRUE,FALSE,FALSE,FALSE,,,,
