corpus_id,score,date,source,article,has-event,has-location,has-space-type
526262,0.749631345,1843-03-11,star,"is concerned, we had no complaint to make.  Nathan Fryer, examined by Mr. Hileyard—I am foreman of the blacksmiths at the Bridgewater works, near Worsley. On the morning of the 11th of August, a number of persons assembled at the works. Morrison was there, and spoke to the inspector. Mr. Smith and Mr. Pearson are the managers of the works. The latter had a communication with the mob, and he then ordered them off, and said he would send the men belonging to the works to them. I went to hear what happened. Morrison spoke, and alluded to the distress that was existing, and said that although we might think ourselves well off, the distress would ultimately reach us. He said it was now our duty to sympathise with them, and he added that if we did not turn out quietly, they would bring a body of men to compel us. Eccles also addressed the meeting. He said they came like a clock, and gave warning before they struck. In consequence of what passed, our men were ordered to cease working. The same afternoon I was at a meeting at Eccles. It struck me that the mob was the same. The meeting was addressed by McCartney, one of the defendants. I don't know who the chairman was. McCartney began by addressing them as ""fellow-slaves,"" and said, ""this is the beginning of the end: this is a struggle between rampant capital and prostrate labour."" He informed them that at a meeting of delegates, held at Manchester, it was determined that they would not identify themselves with any class that were turned out for an advance of wages. The Charter was referred to, and he said the struggle must be purely political, and that all labour must cease until the Charter had become the law of the land. He mentioned many places, and said """,TRUE,TRUE,TRUE
895228,0.744991481,1841-11-06,star,"STALYBRIDGE.—A public meeting was held in the People’s School here on Monday evening last, when the National Petition was read and adopted; after which, Mr. James Leach, of Manchester, delivered an address, exposing the fallacies of the Corn Law repealers. A Corn Law lecture had been previously delivered in the town, by a Mr. Spencer, to about half a dozen of the middle classes; the Chartists, however, upset his meeting.  WOOLWICH.—STRIKE OF THE MASONS.—A public meeting of the inhabitants of Woolwich was held on Thursday evening, Oct. 28th, in the theatre of that town, for the purpose of laying before the inhabitants every particular connected with the strike of the masons at the New Houses of Parliament, Nelson’s Monument, and Woolwich Dock Yard, also, to take into consideration the conduct of a portion of the metropolitan press. The meeting was called for seven o’clock, and long before that hour, the theatre was thronged in every part, the boxes being filled with well-dressed females. Mr. Maddox was called to the chair, and the meeting was addressed by Mr. Davies, Mr. Carter, Mr. Wood, Mr. Parker, Mr. Walton, Dr. McDouall, Captain Aokerley, and others. The meeting consisted of about a thousand persons. We are obliged to the kindness of a friend for furnishing us with a long report of this meeting, a favour which would have been greatly enhanced had it reached us before Thursday morning last; just one week after the meeting had been held, and too late to be made use of at length for the Star.",TRUE,TRUE,TRUE
625534,0.74278295,1845-05-31,star,"Mr. S. Crawfurn presented a petition, signed by upwards of 1,000 persons at Liverpool, on the subject of the resolutions of the noble lord the member for London, stating that some of them were objectionable as having no bearing upon the petitions which had been signed by millions of the people, and presented to that house; and stating also, that no adequate relief would be afforded unless by the means of extensive alterations in the existing laws. The hon. member also presented petitions from Edin- burgh, Kettering, and other places to the same effect.  Mr. Fenauxn presented a petition from the Frame- work-knitters' delegates of the counties of Notting- ham, Derby, and Leicester, assembled in Nottingham on the 28th day of April, 1845, complaining that their labour is reduced in value by over-producing machine power; that they are suffering the greatest destitution; and that, as a measure of justice, they pray for the earnest consideration of the house on this important subject, or the results to society might in a short period be dreadful. They also prayed for certain alterations in the Field Gardens Bill, which would enable them to live without the continual fear of being forced into a union workhouse or starved to death. The hon. member also presented three petitions from factory workers in the employ of Mr. Richard Smethurst, in the parish of Chorley, in favour of a Ten Hours' Bill; and a petition from the sawyers of Rochdale, praying for a tax on steam saw-mills. The hon. member next presented a petition signed by 3,328 silk handloom weavers of Middleton and the townships and villages adjacent thereto, in the county of Lancaster, stating that they were subjected to indescribable suffering and distress in consequence of the want of a proper law to protect their labour—that they con",TRUE,TRUE,FALSE
391392,0.741237283,1843-03-18,star,"see no cause for complaint, or, at least, no causing blocks out of the way of the League. The League, however, is not likely to give up the high in existing prejudice. The League, it is understood, has been formed by Mr. Richard Dawson, Robert, Balfour, and others, with the object of opposing the extension of the franchise. The meeting was held at the Freemasons' Tavern, Fleet-street, on Monday evening, and was attended by a large number of persons, who were addressed by the Chairman and others. The League has been formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working classes to the suffrage. The League is formed to resist the extension of the franchise, and to oppose the admission of the working",TRUE,TRUE,TRUE
817816,0.720611989,1842-10-01,star,"A public conversational meeting was held on Thursday evening week, at the Ship Inn, Long Lane, Bermondsey.  Mr. SNAGS was called to the chair, and opened the proceedings by informing the assembly that it was an adjourned meeting from the previous week, and that its object was to endeavour to effect a union between the Metropolitan Reform Association and the Chartists.  Mr. MAYNARD moved the following resolution:—  ""That this meeting cannot but feel, with horror and alarm, the present awful distressed state of the country, in which not only the working classes, but the manufacturers and the small capitalists, are alike upon the brink of ruin; and being convinced that the cause of this distress is class legislation, we feel assured that no permanent good will arise until the People's Charter becomes the law of the land, which would soon be accomplished by an honest union of the middle and working classes directing their energies for this great object.""",TRUE,TRUE,TRUE
746042,0.712608576,1845-08-23,star,"On Thursday I proceeded to Burnley, and was met at Blackburn with a coach and four very handsome grey horses, an expense which I would rather had been spared. However, I do not the less appreciate the compliment of my warm-hearted friends. Mr. Sutcliffe and Mr. Shutt came to Blackburn for me. On our passage we were cheered by groups of slaves; and when we arrived at Padiham, the concourse was so large that I was compelled to address them at some length. From thence to Blackburn, three miles, we were cheered all along the road by groups of slaves who had been released from the hard day's toil. Shortly after my arrival a very splendid band played some Chartist airs, and in less than a quarter of an hour a great part of the population of Burnley and surrounding districts was assembled in front of my hotel. Healed by the band, we proceeded to the Temperance Hotel, which had been filled for some time before; our old friend, John Place, was called to the chair. Mr. Beesley was first introduced, and spoke briefly upon the value of union, and of the land, as a means of acquiring social happiness and political freedom. I followed, and spoke at considerable length; in fact, until, as in every other place, every stitch on my back, and even my boots, were awet as if they had been soaked in a river. They tell me that my speech gave universal satisfaction; and the result may be seen in £10 acknowledged this week for the Land, and £3 for the Executive. At the conclusion of my speech James Holgate, of Colne, put some questions to me upon presenting me with the amount paid for twenty shares from that town, and which I answered to his satisfaction and to the satisfaction of the meeting. I was sorry here to see poor Taitersall, who was urged on by the",TRUE,TRUE,TRUE
38962,0.704014599,1842-07-30,star,"COVENTRY.—The cause goes on well here. We have enrolled eighty members this week. Lectures continue to be delivered three times a week, Monday, Friday, and Sunday evenings. A discussion class has been formed, which meets on Thursday evening. Also an Harmonic Society, which meets on Saturday evening; beverage, pop, &c. if required, the profits of which will go to the Association. Mr. Rittermay delivered a very instructive lecture, on Friday evening last, when some of the middle classes began to show symptoms of union, by coming and enrolling their names and taking out their cards of membership. We have also come to the resolution, and a committee is appointed, to draw up a Lecturer's plan. As we have several intelligent and useful men amongst us, we have commenced agitating the out districts. We have formed an association at Foleshill, which goes on well. Mr. Peter Hoy formed one at Bulkington, on Saturday evening last. Arrangements are being made to form one at Kenilworth, and in a very short time we intend to have this district well organised. Trade is very bad here, hundreds are walking the streets, as it is supposed that there is not above one loom out of every five that is at work, and that not in full employ. Watchmakers are continually being robbed of their earnings by way of reductions. I am informed that one master reduced his workmen five shillings each in one week. Sales are taking place every day; in fact there is no prospect but of a gloomy winter a-springing up the face.",TRUE,TRUE,FALSE
308112,0.701976657,1849-03-24,star,"TO THE EDITOR OF THE NORTHERN STAR.  SIR—As the Chartists, in several parts of the country, and the Executive Committee in particular, are trying to rouse the people to a sense of their duty, by getting up an energetic agitation for the Charter, a few of the Chartists of Lowbands have determined to do their share in the good work. We cannot remain inactive after having served so long in the glorious movement, especially when so much work remains to be done. The cities of Gloucester and Worcester, and the towns of Cheltenham, Tewkesbury, Newent, Ledbury, and Stroud, are within a few hours walk of this place, and we consider it would be criminal in us, as Chartists, if we did not exert ourselves to arouse those places to action. The people here need no incentive to stir them up, for they are as much oppressed and plundered as any people in the world. I do not know one farmer, for miles around here, that has any fixed pay day for his men; in fact, the labourers hardly ever receive money from their masters, for they make them take their wages in the produce of their lands. Sometimes, perhaps, in the course of three or six month, they have a ""settling,"" and then they receive the balance, if any, but, generally, with as many curses as shillings for not having taken it out in stuff. I have inquired of several labourers, but none could tell me of one that paid in money. Their wages are from six shillings to eight shillings per week. Now, the towns I have mentioned might very easily carry out the plan of organisation, for they have the same means of doing so as the people of any part of Lancashire. It is our intention to correspond with all those places, and to call a deputation meeting to be held at some central place",FALSE,FALSE,FALSE
639552,0.700175226,1842-01-15,star,"We must do all we can to assist “the old King” in getting a Ten Hours’ Factory Bill, and save others from our fate.”  Mr. Thornhill, I was much affected with that scene. None were present save the “King” and his two crippled “subjects.” Really, I was proud of them, and resolved to get them an asylum, if I could.  And now, Sir, permit me to urge the friends of the poor everywhere to be up and stirring to the help of Lord Ashley. His Lordship has taken his stand; he has set a noble example; he will, no doubt, early in next session, again attempt to obtain a Ten Hours’ Factories’ Regulation Act. He will, of course, be met by the keenest opposition of the Leaguers. His lordship will require the aid of all true Christians. I, therefore, entreat all ministers of religion to make it their business to forward petitions to Parliament, praying for a Ten Hours’ Factory Law. Oh, that every bishop, priest, and deacon, would see to it, that he obtains one! I know of nothing that would so much unite the poor to the priesthood. How I shall be rejoiced if thus, at last, my labours should be crowned by the Church.  On the cover of this Fleeter are inserted two forms of petition, for the use of those in the factory districts, who might otherwise be at a loss for the proper words. I earnestly pray, that every clergyman who reads this letter may become a helper in this great and good work.  The landlords and agriculturists will do well to lend their aid. It is their interest as well as their duty. I hope that Riddlesworth will set the example, and that from every nook and corner of the land petitions will now be forwarded to Parliament for my",FALSE,FALSE,FALSE
306304,0.699765623,1850-09-14,star,"last forty years, making the manufacturers rich, while the wages of the producers of that wealth had been considerably reduced, thus causing pauperism and crime to increase in a like ratio. He showed by undeniable evidence that there was not the least necessity, for any man able and willing to labour, to be in poverty; that there was no necessity for emigration; that there was more than eleven acres of land for every man in the kingdom; that great quantities of that land had been stolen from the poor, and the people ought not to be satisfied until it was restored to the rightful owners. He exhorted them to union and perseverance, and pledged himself to the advocacy of the People's Charter, whole and entire, with renewed exertion, until it became the law of the land. At the close of Mr. Jones' address, a resolution was proposed by Mr. Emmerson, and seconded by Mr. Liggett, pledging the meeting to agitate for their political and social rights, which, on being put, was carried unanimously.—A vote of thanks was given, on the motion of Mr. S. Saunders, ""To the workmen in the employ of the Messrs. Barclay and Co., of London, for the glorious reception they had given to the Austrian brute, Haynau—the butcher of men—the flogger of women,"" which, on being put to the meeting, was carried unanimously.—A vote of thanks was accorded to Mr. Jones for his able address, amidst acclamations, who briefly acknowledged the same, and moved, ""That the best thanks of this meeting be given to their respected Chairman for the able manner in which he had conducted the business of the day,"" which, on being seconded and put, was also carried unanimously.—Mr. Sweet suitably acknowledged the compliment",TRUE,FALSE,FALSE
